date,open,high,low,close,volume
2022-01-01 01:00:00,1.308,1.38,1.306,1.38,69007607.49999996
2022-01-02 01:00:00,1.379,1.391,1.342,1.377,81011860.39999992
2022-01-03 01:00:00,1.378,1.378,1.31,1.319,87155825.8999999
2022-01-04 01:00:00,1.319,1.352,1.295,1.309,94479305.90000013
2022-01-05 01:00:00,1.31,1.353,1.193,1.23,158740088.19999972
2022-01-06 01:00:00,1.23,1.297,1.186,1.28,175754407.5999999
2022-01-07 01:00:00,1.279,1.285,1.189,1.21,209806013.1999998
2022-01-08 01:00:00,1.209,1.254,1.124,1.181,169730473.68000007
2022-01-09 01:00:00,1.182,1.206,1.147,1.17,114093699.40000011
2022-01-10 01:00:00,1.17,1.181,1.069,1.123,189250644.14000043
2022-01-11 01:00:00,1.123,1.196,1.122,1.187,115267098.70000029
2022-01-12 01:00:00,1.188,1.314,1.186,1.312,145608592.69999993
2022-01-13 01:00:00,1.312,1.354,1.227,1.233,179029543.60000026
2022-01-14 01:00:00,1.232,1.309,1.22,1.292,143281596.49999994
2022-01-15 01:00:00,1.293,1.319,1.251,1.291,80421836.40000013
2022-01-16 01:00:00,1.292,1.422,1.286,1.41,247977037.39999965
2022-01-17 01:00:00,1.411,1.607,1.386,1.603,545675409.0999995
2022-01-18 01:00:00,1.602,1.638,1.411,1.458,455949108.30000055
2022-01-19 01:00:00,1.458,1.534,1.326,1.337,329948716.39999956
2022-01-20 01:00:00,1.336,1.427,1.251,1.259,261063307.29999995
2022-01-21 01:00:00,1.259,1.282,1.101,1.12,408519522.4000003
2022-01-22 01:00:00,1.12,1.155,0.917,1.071,554287709.1200001
2022-01-23 01:00:00,1.071,1.17,1.051,1.124,257147931.50000024
2022-01-24 01:00:00,1.124,1.125,0.951,1.065,437410319.9999996
2022-01-25 01:00:00,1.066,1.074,0.991,1.043,218828333.3000001
2022-01-26 01:00:00,1.043,1.157,1.022,1.077,336503954.9000001
2022-01-27 01:00:00,1.078,1.08,1.004,1.042,184762461.80000022
2022-01-28 01:00:00,1.042,1.059,1.008,1.048,137690073.1000001
2022-01-29 01:00:00,1.049,1.084,1.037,1.059,89531278.39999995
2022-01-30 01:00:00,1.059,1.077,1.024,1.035,72352160.10000011
2022-01-31 01:00:00,1.035,1.06,1.006,1.051,101218950.10000004
2022-02-01 01:00:00,1.052,1.096,1.034,1.096,124526330.30000004
2022-02-02 01:00:00,1.096,1.103,1.022,1.027,126857788.70000017
2022-02-03 01:00:00,1.027,1.062,1.016,1.061,98542208.4999999
2022-02-04 01:00:00,1.061,1.139,1.045,1.138,135205051.59999993
2022-02-05 01:00:00,1.138,1.178,1.097,1.125,152705348.10000017
2022-02-06 01:00:00,1.125,1.15,1.097,1.143,107099316.99999994
2022-02-07 01:00:00,1.142,1.209,1.125,1.199,267801841.59999985
2022-02-08 01:00:00,1.198,1.263,1.133,1.176,271657090.80000037
2022-02-09 01:00:00,1.176,1.215,1.152,1.195,137109784.20000005
2022-02-10 01:00:00,1.194,1.225,1.143,1.15,183604520.10000002
2022-02-11 01:00:00,1.15,1.164,1.068,1.079,131818725.19999996
2022-02-12 01:00:00,1.079,1.092,1.029,1.059,149173437.2
2022-02-13 01:00:00,1.058,1.076,1.032,1.042,99247994.00000004
2022-02-14 01:00:00,1.043,1.055,1.018,1.049,138982742.3
2022-02-15 01:00:00,1.05,1.115,1.049,1.107,153934616.30000016
2022-02-16 01:00:00,1.108,1.112,1.066,1.082,100925929.70000008
2022-02-17 01:00:00,1.083,1.094,1.008,1.02,114535761.8999999
2022-02-18 01:00:00,1.019,1.043,0.983,0.995,133614248.3999998
2022-02-19 01:00:00,0.996,1.019,0.973,0.996,92102940.70000006
2022-02-20 01:00:00,0.997,0.998,0.919,0.931,156774619.1000001
2022-02-21 01:00:00,0.931,0.993,0.851,0.856,283488504.3099999
2022-02-22 01:00:00,0.856,0.897,0.813,0.888,264842040.5700003
2022-02-23 01:00:00,0.888,0.96,0.863,0.866,237696741.29999977
2022-02-24 01:00:00,0.866,0.899,0.746,0.853,560130978.5799996
2022-02-25 01:00:00,0.852,0.91,0.823,0.898,210840757.39999965
2022-02-26 01:00:00,0.898,0.93,0.881,0.887,142052119.70000026
2022-02-27 01:00:00,0.886,0.915,0.832,0.856,162004634.9000001
2022-02-28 01:00:00,0.857,0.97,0.842,0.962,227929558.69999984
2022-03-01 01:00:00,0.962,1.011,0.939,0.963,234764266.60000017
2022-03-02 01:00:00,0.964,0.977,0.927,0.939,149491898.80000007
2022-03-03 01:00:00,0.938,0.946,0.883,0.903,114772747.90000029
2022-03-04 01:00:00,0.902,0.903,0.826,0.844,147015719.2999999
2022-03-05 01:00:00,0.844,0.883,0.818,0.864,78739554.50000004
2022-03-06 01:00:00,0.865,0.872,0.819,0.823,76546559.40000002
2022-03-07 01:00:00,0.822,0.847,0.777,0.793,132873670.59999992
2022-03-08 01:00:00,0.793,0.821,0.787,0.802,123855395.50000004
2022-03-09 01:00:00,0.802,0.863,0.799,0.849,114971836.49999993
2022-03-10 01:00:00,0.849,0.854,0.785,0.807,115075805.50000009
2022-03-11 01:00:00,0.806,0.819,0.782,0.788,101512784.99999991
2022-03-12 01:00:00,0.788,0.802,0.786,0.789,50466434.40000005
2022-03-13 01:00:00,0.789,0.821,0.78,0.786,88733691.19999987
2022-03-14 01:00:00,0.787,0.816,0.776,0.802,104136040.30000007
2022-03-15 01:00:00,0.803,0.817,0.781,0.8,95462205.49999996
2022-03-16 01:00:00,0.8,0.84,0.792,0.838,160796978.50000024
2022-03-17 01:00:00,0.839,0.858,0.827,0.835,106462948.2000001
2022-03-18 01:00:00,0.835,0.86,0.82,0.851,82865732.30000006
2022-03-19 01:00:00,0.851,0.916,0.85,0.903,114266368.80000001
2022-03-20 01:00:00,0.902,0.916,0.864,0.879,93008770.89999981
2022-03-21 01:00:00,0.879,0.93,0.863,0.917,115815047.20000005
2022-03-22 01:00:00,0.917,0.988,0.907,0.975,172058469.40000033
2022-03-23 01:00:00,0.975,1.11,0.957,1.108,362447245.0999996
2022-03-24 01:00:00,1.108,1.19,1.076,1.131,390982460.00000006
2022-03-25 01:00:00,1.13,1.167,1.072,1.096,290456883.69999975
2022-03-26 01:00:00,1.096,1.16,1.079,1.152,143117986.09999985
2022-03-27 01:00:00,1.152,1.186,1.104,1.184,135043361.79999998
2022-03-28 02:00:00,1.184,1.246,1.157,1.17,261105698.60000008
2022-03-29 02:00:00,1.17,1.243,1.166,1.191,180298617.99999985
2022-03-30 02:00:00,1.191,1.218,1.161,1.189,146032640.29999974
